#SUBMITTED ID	GENE_SNAPSHOT	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	SYMBOL
CG10123	Topoisomerase 3α (Top3α) encodes a type IA topoisomerase that works with the helicase encoded by Blm to perform double Holliday junction dissolution during homologous recombination. It is also involved in DNA disentangling during chromosome segregation and mitochondrial DNA replication. [Date last reviewed: 2019-03-14]	2L	19502268	19498168	1	Topoisomerase 3alpha	Top3alpha
CG5371	-	2L	10327943	10325026	-1	Ribonucleoside diphosphate reductase large subunit	RnrL
CG5371	-	2L	10327943	10325026	-1	Ribonucleoside diphosphate reductase large subunit	RnrL
CG9326	varicose (vari) encodes a protein involved in tracheal system development and septate junction assembly. [Date last reviewed: 2019-09-19]	2L	20797042	20788662	-1	varicose	vari
CG9326	varicose (vari) encodes a protein involved in tracheal system development and septate junction assembly. [Date last reviewed: 2019-09-19]	2L	20797042	20788662	-1	varicose	vari
CG14026	thickveins (tkv) encodes a transforming growth factor beta type I receptor. Together with the product of put, it functions as a receptor of the product of dpp and therefore contributes to the BMP signaling pathway. [Date last reviewed: 2019-06-13]	2L	5271384	5219000	-1	thickveins	tkv
CG14026	thickveins (tkv) encodes a transforming growth factor beta type I receptor. Together with the product of put, it functions as a receptor of the product of dpp and therefore contributes to the BMP signaling pathway. [Date last reviewed: 2019-06-13]	2L	5271384	5219000	-1	thickveins	tkv
CG14472	purity of essence (poe) encodes a Calmodulin-binding, E3 ubiquitin ligase. It functions in glial growth in peripheral nerves, motor neuron excitability, synaptic vesicle release and sperm individuation. [Date last reviewed: 2019-03-14]	2L	8071624	8054322	-1	purity of essence	poe
CG14472	purity of essence (poe) encodes a Calmodulin-binding, E3 ubiquitin ligase. It functions in glial growth in peripheral nerves, motor neuron excitability, synaptic vesicle release and sperm individuation. [Date last reviewed: 2019-03-14]	2L	8071624	8054322	-1	purity of essence	poe
CG13109	taiman (tai) encodes an ecdysone receptor co-activator related to mammalian steroid receptor coactivator (SRC) proteins. It contributes to border cell migration. [Date last reviewed: 2019-03-14]	2L	9250211	9166778	1	taiman	tai
CG13109	taiman (tai) encodes an ecdysone receptor co-activator related to mammalian steroid receptor coactivator (SRC) proteins. It contributes to border cell migration. [Date last reviewed: 2019-03-14]	2L	9250211	9166778	1	taiman	tai
CG10443	Leukocyte-antigen-related-like (Lar) encodes a transmembrane receptor tyrosine phosphatase with a extracellular domain that binds to the product of Sdc. It regulates signaling through the product of Abl. While the product of Lar has many functions, it is best known for its roles in embryonic motor axon guidance and in target recognition by axons of R7 photoreceptors. [Date last reviewed: 2019-03-14]	2L	19732069	19586623	1	Leukocyte-antigen-related-like	Lar
CG10443	Leukocyte-antigen-related-like (Lar) encodes a transmembrane receptor tyrosine phosphatase with a extracellular domain that binds to the product of Sdc. It regulates signaling through the product of Abl. While the product of Lar has many functions, it is best known for its roles in embryonic motor axon guidance and in target recognition by axons of R7 photoreceptors. [Date last reviewed: 2019-03-14]	2L	19732069	19586623	1	Leukocyte-antigen-related-like	Lar
CG13968	short neuropeptide F precursor (sNPF) encodes a protein that binds to the product of sNPF-R and activates ERK-Dilps signaling or the PKA-CREB pathway. Its roles include the regulation of cell and organism growth, carbohydrate metabolism, lifespan, feeding behavior, locomotion, circadian rhythm, and sleep. [Date last reviewed: 2019-03-14]	2L	20056373	20027915	1	short neuropeptide F precursor	sNPF
CG13968	short neuropeptide F precursor (sNPF) encodes a protein that binds to the product of sNPF-R and activates ERK-Dilps signaling or the PKA-CREB pathway. Its roles include the regulation of cell and organism growth, carbohydrate metabolism, lifespan, feeding behavior, locomotion, circadian rhythm, and sleep. [Date last reviewed: 2019-03-14]	2L	20056373	20027915	1	short neuropeptide F precursor	sNPF
CG3935	-	2L	387439	378112	1	aristaless	al
CG3935	-	2L	387439	378112	1	aristaless	al
CG33526	Phosphatase 1 nuclear targeting subunit (PNUTS) encodes a protein phosphatase 1 binding protein involved in developmental growth and gene expression. [Date last reviewed: 2019-09-26]	2L	877038	870465	1	Phosphatase 1 nuclear targeting subunit	PNUTS
CG33526	Phosphatase 1 nuclear targeting subunit (PNUTS) encodes a protein phosphatase 1 binding protein involved in developmental growth and gene expression. [Date last reviewed: 2019-09-26]	2L	877038	870465	1	Phosphatase 1 nuclear targeting subunit	PNUTS
CG42829	-	2L	17875247	17786971	-1	Cadherin-N2	CadN2
CG42829	-	2L	17875247	17786971	-1	Cadherin-N2	CadN2
CG5680	basket (bsk) encodes a serine/threonine-protein kinase, a key component of JNK pathway that phosphorylates the transcription factor encoded by Jra. Its roles include regulation of cell shape and stress response. [Date last reviewed: 2019-03-07]	2L	10250501	10247502	-1	basket	bsk
CG5680	basket (bsk) encodes a serine/threonine-protein kinase, a key component of JNK pathway that phosphorylates the transcription factor encoded by Jra. Its roles include regulation of cell shape and stress response. [Date last reviewed: 2019-03-07]	2L	10250501	10247502	-1	basket	bsk
CG16975	Scm-related gene containing four mbt domains (Sfmbt) encodes a subunit of the Polycomb Group protein complex Pho repressive complex (PhoRC). This chromatin binding protein recognizes with high selectivity mono- and dimethylated lysine residues in various histone peptides. [Date last reviewed: 2018-11-15]	2L	13176785	13169649	-1	Scm-related gene containing four mbt domains	Sfmbt
CG16975	Scm-related gene containing four mbt domains (Sfmbt) encodes a subunit of the Polycomb Group protein complex Pho repressive complex (PhoRC). This chromatin binding protein recognizes with high selectivity mono- and dimethylated lysine residues in various histone peptides. [Date last reviewed: 2018-11-15]	2L	13176785	13169649	-1	Scm-related gene containing four mbt domains	Sfmbt
CG5686	chico (chico) encodes a substrate of the product of InR. As a key component of the Insulin pathway, the chico product plays an essential role in the control of cell size and growth. [Date last reviewed: 2019-06-13]	2L	10247078	10242512	-1	chico	chico
CG5686	chico (chico) encodes a substrate of the product of InR. As a key component of the Insulin pathway, the chico product plays an essential role in the control of cell size and growth. [Date last reviewed: 2019-06-13]	2L	10247078	10242512	-1	chico	chico
CG31641	stathmin (stai) encodes a tubulin binding protein involved in axo-dendritic transport, gamete generation and synaptic growth at neuromuscular junction. [Date last reviewed: 2019-09-19]	2L	6124653	6100377	1	stathmin	stai
CG31641	stathmin (stai) encodes a tubulin binding protein involved in axo-dendritic transport, gamete generation and synaptic growth at neuromuscular junction. [Date last reviewed: 2019-09-19]	2L	6124653	6100377	1	stathmin	stai
CG10697	-	2L	19120306	19116483	-1	Dopa decarboxylase	Ddc
CG10697	-	2L	19120306	19116483	-1	Dopa decarboxylase	Ddc
CG10652	-	2L	19009306	19008031	-1	Ribosomal protein L30	RpL30
CG10652	-	-	-	-	-	-	Dyak\RpL30
CG10652	-	2L	19009306	19008031	-1	Ribosomal protein L30	RpL30
CG4033	-	2L	407969	404285	1	RNA polymerase I subunit B	Polr1B
CG4033	-	2L	407969	404285	1	RNA polymerase I subunit B	Polr1B
CG9088	Lysine demethylase 5 (Kdm5) encodes a trimethyl H3K4 histone demethylase that regulates transcription through both demethylase-dependent and demethylase-independent mechanisms. It has roles in regulating cell growth, circadian rhythm, stress resistance, hematopoiesis and fertility. [Date last reviewed: 2019-03-14]	2L	5999501	5989400	-1	Lysine demethylase 5	Kdm5
CG9088	Lysine demethylase 5 (Kdm5) encodes a trimethyl H3K4 histone demethylase that regulates transcription through both demethylase-dependent and demethylase-independent mechanisms. It has roles in regulating cell growth, circadian rhythm, stress resistance, hematopoiesis and fertility. [Date last reviewed: 2019-03-14]	2L	5999501	5989400	-1	Lysine demethylase 5	Kdm5
CG4621	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	10972093	10970443	1	YL-1	YL-1
CG4621	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	10972093	10970443	1	YL-1	YL-1
CG4629	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	1102504	1083091	-1	-	CG4629
CG9078	-	2L	5988854	5986348	1	infertile crescent	ifc
CG9078	-	2L	5988854	5986348	1	infertile crescent	ifc
CG17301	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	2653926	2653046	1	Proteasome beta4 subunit-related 1	Prosbeta4R1
CG17301	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	2653926	2653046	1	Proteasome beta4 subunit-related 1	Prosbeta4R1
CG17302	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	2657102	2655394	1	Proteasome beta4 subunit-related 2	Prosbeta4R2
CG17302	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	2657102	2655394	1	Proteasome beta4 subunit-related 2	Prosbeta4R2
CG3766	-	2L	9435341	9431405	1	scattered	scat
CG3766	-	2L	9435341	9431405	1	scattered	scat
CG4644	-	2L	1108373	1103254	-1	RNA polymerase mitochondrial	PolrMT
CG4644	-	2L	1108373	1103254	-1	RNA polymerase mitochondrial	PolrMT
CG9092	β galactosidase (Gal) encodes a putative digestive enzyme that hydrolyses β-galactosides into monosaccharides. Gal is highly expressed and enriched in the midgut, an organ involved in digestion. [Date last reviewed: 2019-03-07]	2L	6006827	6003574	-1	beta galactosidase	Gal
CG9092	β galactosidase (Gal) encodes a putative digestive enzyme that hydrolyses β-galactosides into monosaccharides. Gal is highly expressed and enriched in the midgut, an organ involved in digestion. [Date last reviewed: 2019-03-07]	2L	6006827	6003574	-1	beta galactosidase	Gal
CG17329	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	16291948	16291284	1	-	CG17329
CG17328	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	16301765	16299943	1	-	CG17328
CG17320	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	18833630	18831229	1	Sterol carrier protein X-related thiolase	ScpX
CG17320	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	18833630	18831229	1	Sterol carrier protein X-related thiolase	ScpX
CG3736	okra (okr) encodes a helicase involved in homologous DNA repair. It functions in meiotic recombination. [Date last reviewed: 2019-03-14]	2L	2992759	2989594	-1	okra	okr
CG3736	okra (okr) encodes a helicase involved in homologous DNA repair. It functions in meiotic recombination. [Date last reviewed: 2019-03-14]	2L	2992759	2989594	-1	okra	okr
CG13387	embargoed (emb) encodes an exportin involved in protein export from the nucleus. It regulates the response to hypoxia and is involved in centriole replication. [Date last reviewed: 2019-03-07]	2L	8408853	8403573	1	embargoed	emb
CG13387	embargoed (emb) encodes an exportin involved in protein export from the nucleus. It regulates the response to hypoxia and is involved in centriole replication. [Date last reviewed: 2019-03-07]	2L	8408853	8403573	1	embargoed	emb
CG13391	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	8381764	8378262	-1	Alanyl-tRNA synthetase	AlaRS
CG13391	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	8381764	8378262	-1	Alanyl-tRNA synthetase	AlaRS
CG4600	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	9917220	9915253	1	yippee interacting protein 2	yip2
CG4600	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	9917220	9915253	1	yippee interacting protein 2	yip2
CG3753	Marcal1 (Marcal1) encodes an ATP-dependent DNA annealing helicase that recognizes single-stranded to double-stranded DNA transitions. It maintains genomic integrity through its roles in DNA repair, DNA replication, DNA recombination and gene expression. [Date last reviewed: 2019-03-14]	2L	4958292	4955509	1	Marcal1	Marcal1
CG3753	Marcal1 (Marcal1) encodes an ATP-dependent DNA annealing helicase that recognizes single-stranded to double-stranded DNA transitions. It maintains genomic integrity through its roles in DNA repair, DNA replication, DNA recombination and gene expression. [Date last reviewed: 2019-03-14]	2L	4958292	4955509	1	Marcal1	Marcal1
